id n_ind mle species temp hour mle_bias
LMB_Stool_Chin_799 1 1 LMB 18.5 36 0
LMB_Stool_Chin_807 1 1 LMB 18.5 48 0
LMB_Stool_Chin_811 1 1 LMB 15.5 48 0
LMB_Stool_Chin_814 1 1 LMB 15.5 48 0
LMB_Stool_Chin_819 1 1 LMB 18.5 60 0
LMB_Stool_Chin_821 1 1 LMB 18.5 60 0
LMB_Stool_Chin_823 1 1 LMB 15.5 60 0
LMB_Stool_Chin_830 1 1 LMB 18.5 72 0
LMB_Stool_Chin_831 1 1 LMB 18.5 72 0
LMB_Stool_Chin_835 1 1 LMB 15.5 72 0
LMB_Stool_Chin_837 1 1 LMB 15.5 72 0
LMB_Stool_Chin_851 1 2 LMB 18.5 96 1
LMB_Stool_Chin_854 1 1 LMB 15.5 96 0
LMB_Stool_Chin_858 1 1 LMB 15.5 96 0
LMB_Stool_Chin_872 3 1 LMB 15.5 24 -2
LMB_Stool_Chin_923_MISSING 3 1 LMB 15.5 NA -2
LMB_Stool_Chin_932 3 1 LMB 15.5 84 -2
LMB_Stool_Chin_938 3 1 LMB 18.5 96 -2
CCF_Stool_Chin_1007 1 1 CCF 18.5 48 0
CCF_Stool_Chin_1008 1 1 CCF 18.5 48 0
CCF_Stool_Chin_1014 1 1 CCF 15.5 48 0
CCF_Stool_Chin_1019 1 1 CCF 18.5 36 0
CCF_Stool_Chin_1028 1 1 CCF 18.5 24 0
CCF_Stool_Chin_1029 1 1 CCF 18.5 24 0
CCF_Stool_Chin_1037 1 1 CCF 18.5 6 0
CCF_Stool_Chin_1047 1 1 CCF 15.5 72 0
CCF_Stool_Chin_1049 1 1 CCF 15.5 72 0
CCF_Stool_Chin_1055 1 1 CCF 18.5 72 0
CCF_Stool_Chin_1056 1 1 CCF 18.5 12 0
CCF_Stool_Chin_1066 3 1 CCF 18.5 120 -2
CCF_Stool_Chin_1067 3 1 CCF 18.5 120 -2
CCF_Stool_Chin_1075 3 1 CCF 15.5 120 -2
CCF_Stool_Chin_1079 3 1 CCF 18.5 96 -2
CCF_Stool_Chin_1080 3 1 CCF 18.5 96 -2
CCF_Stool_Chin_1083 3 1 CCF 15.5 96 -2
CCF_Stool_Chin_1086 3 1 CCF 18.5 84 -2
CCF_Stool_Chin_1089 3 1 CCF 18.5 84 -2
CCF_Stool_Chin_1091 3 1 CCF 15.5 84 -2
CCF_Stool_Chin_1096 3 2 CCF 18.5 24 -1
CCF_Stool_Chin_1098 3 1 CCF 18.5 24 -2
CCF_Stool_Chin_1100 3 1 CCF 18.5 24 -2
CCF_Stool_Chin_1103 3 1 CCF 15.5 24 -2
CCF_Stool_Chin_1105 3 1 CCF 15.5 24 -2
CCF_Stool_Chin_1107 3 1 CCF 18.5 12 -2
CCF_Stool_Chin_1110 3 1 CCF 18.5 12 -2
CCF_Stool_Chin_1113 3 1 CCF 15.5 12 -2
CCF_Stool_Chin_1119 3 1 CCF 18.5 60 -2
CCF_Stool_Chin_1127 3 1 CCF 18.5 36 -2
CCF_Stool_Chin_1128 3 1 CCF 18.5 36 -2
CCF_Stool_Chin_1136_MISSING 3 1 CCF 18.5 NA -2
CCF_Stool_Chin_1137 3 1 CCF 18.5 48 -2
CCF_Stool_Chin_1138_MISSING 3 2 CCF 18.5 NA -1
CCF_Stool_Chin_1140_MISSING 3 1 CCF 18.5 NA -2
CCF_Stool_Chin_1154 3 1 CCF 18.5 48 -2
CCF_Stool_Chin_1160 3 1 CCF 18.5 72 -2
CCF_Stool_Chin_956 1 1 CCF 15.5 96 0
CCF_Stool_Chin_962 1 1 CCF 18.5 120 0
CCF_Stool_Chin_963 1 1 CCF 18.5 120 0
CCF_Stool_Chin_964 1 1 CCF 18.5 120 0
CCF_Stool_Chin_971 1 1 CCF 15.5 120 0
CCF_Stool_Chin_973 1 1 CCF 18.5 84 0
CCF_Stool_Chin_974 1 1 CCF 18.5 84 0
CCF_Stool_Chin_996 1 1 CCF 18.5 60 0
CCF_Stool_Chin_997 1 1 CCF 18.5 60 0
LMB_Stool_Chin_551 1 1 LMB 15.5 24 0
LMB_Stool_Chin_552 1 1 LMB 18.5 12 0
LMB_Stool_Chin_556 1 1 LMB 18.5 12 0
LMB_Stool_Chin_579 1 1 LMB 15.5 36 0
LMB_Stool_Chin_588 1 1 LMB 15.5 48 0
LMB_Stool_Chin_589 1 1 LMB 15.5 48 0
LMB_Stool_Chin_590 1 1 LMB 15.5 48 0
LMB_Stool_Chin_656 3 2 LMB 15.5 12 -1
LMB_Stool_Chin_684 3 2 LMB 18.5 120 -1
LMB_Stool_Chin_686 3 1 LMB 18.5 120 -2
LMB_Stool_Chin_687 3 1 LMB 15.5 120 -2
LMB_Stool_Chin_690 3 1 LMB 15.5 120 -2
LMB_Stool_Chin_692 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_696 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_702 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_703 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_706 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_707 3 1 LMB 15.5 72 -2
LMB_Stool_Chin_712 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_716 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_719 3 1 LMB 15.5 84 -2
LMB_Stool_Chin_732 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_741 3 1 LMB 15.5 96 -2
LMB_Stool_Chin_746 1 1 LMB 18.5 120 0
LMB_Stool_Chin_751 1 1 LMB 18.5 120 0
LMB_Stool_Chin_754 1 1 LMB 15.5 120 0
LMB_Stool_Chin_764 1 1 LMB 18.5 6 0
LMB_Stool_Chin_773 1 1 LMB 18.5 12 0
LMB_Stool_Chin_774 1 1 LMB 18.5 12 0
LMB_Stool_Chin_775 1 1 LMB 18.5 12 0
LMB_Stool_Chin_779 1 1 LMB 15.5 12 0
LMB_Stool_Chin_782 1 1 LMB 15.5 12 0
LMB_Stool_Chin_793 1 1 LMB 15.5 24 0
