Sample_ID,Sample_Plate,Sample_Well,species,temp,smolt,hour
LMB_Stool_Chin_752,LMBStomachs_17,B03,LMB,15.5,1,120
LMB_Stool_Chin_753,LMBStomachs_17,C03,LMB,15.5,1,120
LMB_Stool_Chin_754,LMBStomachs_17,D03,LMB,15.5,1,120
LMB_Stool_Chin_755,LMBStomachs_17,E03,LMB,15.5,1,120
LMB_Stool_Chin_757,LMBStomachs_17,F03,LMB,15.5,1,120
LMB_Stool_Chin_759,LMBStomachs_17,G03,LMB,18.5,1,6
LMB_Stool_Chin_760,LMBStomachs_17,H03,LMB,18.5,1,6
LMB_Stool_Chin_761,LMBStomachs_17,A04,LMB,18.5,1,6
LMB_Stool_Chin_764,LMBStomachs_17,B04,LMB,18.5,1,6
LMB_Stool_Chin_765,LMBStomachs_17,C04,LMB,18.5,1,6
LMB_Stool_Chin_767,LMBStomachs_17,D04,LMB,15.5,1,6
LMB_Stool_Chin_768,LMBStomachs_17,E04,LMB,15.5,1,6
LMB_Stool_Chin_769,LMBStomachs_17,F04,LMB,15.5,1,6
LMB_Stool_Chin_770,LMBStomachs_17,G04,LMB,15.5,1,6
LMB_Stool_Chin_771,LMBStomachs_17,H04,LMB,15.5,1,6
LMB_Stool_Chin_772,LMBStomachs_17,A05,LMB,18.5,1,12
LMB_Stool_Chin_773,LMBStomachs_17,B05,LMB,18.5,1,12
LMB_Stool_Chin_774,LMBStomachs_17,C05,LMB,18.5,1,12
LMB_Stool_Chin_775,LMBStomachs_17,D05,LMB,18.5,1,12
LMB_Stool_Chin_776,LMBStomachs_17,E05,LMB,18.5,1,12
LMB_Stool_Chin_778,LMBStomachs_17,F05,LMB,15.5,1,12
LMB_Stool_Chin_779,LMBStomachs_17,G05,LMB,15.5,1,12
LMB_Stool_Chin_780,LMBStomachs_17,H05,LMB,15.5,1,12
LMB_Stool_Chin_781,LMBStomachs_17,A06,LMB,15.5,1,12
LMB_Stool_Chin_782,LMBStomachs_17,B06,LMB,15.5,1,12
LMB_Stool_Chin_783,LMBStomachs_17,C06,LMB,18.5,1,24
LMB_Stool_Chin_784,LMBStomachs_17,D06,LMB,18.5,1,24
LMB_Stool_Chin_786,LMBStomachs_17,E06,LMB,18.5,1,24
LMB_Stool_Chin_787,LMBStomachs_17,F06,LMB,18.5,1,24
LMB_Stool_Chin_788,LMBStomachs_17,G06,LMB,18.5,1,24
LMB_Stool_Chin_790,LMBStomachs_17,H06,LMB,15.5,1,24
LMB_Stool_Chin_791,LMBStomachs_17,A07,LMB,15.5,1,24
LMB_Stool_Chin_792,LMBStomachs_17,B07,LMB,15.5,1,24
LMB_Stool_Chin_793,LMBStomachs_17,C07,LMB,15.5,1,24
LMB_Stool_Chin_794,LMBStomachs_17,D07,LMB,15.5,1,24
LMB_Stool_Chin_795,LMBStomachs_17,E07,LMB,18.5,1,36
LMB_Stool_Chin_796,LMBStomachs_17,F07,LMB,18.5,1,36
LMB_Stool_Chin_797,LMBStomachs_17,G07,LMB,18.5,1,36
LMB_Stool_Chin_798,LMBStomachs_17,H07,LMB,18.5,1,36
LMB_Stool_Chin_799,LMBStomachs_17,A08,LMB,18.5,1,36
LMB_Stool_Chin_800,LMBStomachs_17,B08,LMB,15.5,1,36
LMB_Stool_Chin_801,LMBStomachs_17,C08,LMB,15.5,1,36
LMB_Stool_Chin_802,LMBStomachs_17,D08,LMB,15.5,1,36
LMB_Stool_Chin_803,LMBStomachs_17,E08,LMB,15.5,1,36
LMB_Stool_Chin_804,LMBStomachs_17,F08,LMB,15.5,1,36
LMB_Stool_Chin_805,LMBStomachs_17,G08,LMB,18.5,1,48
LMB_Stool_Chin_807,LMBStomachs_17,H08,LMB,18.5,1,48
LMB_Stool_Chin_808,LMBStomachs_17,A09,LMB,18.5,1,48
LMB_Stool_Chin_809,LMBStomachs_17,B09,LMB,18.5,1,48
LMB_Stool_Chin_810,LMBStomachs_17,C09,LMB,18.5,1,48
LMB_Stool_Chin_811,LMBStomachs_17,D09,LMB,15.5,1,48
LMB_Stool_Chin_812,LMBStomachs_17,E09,LMB,15.5,1,48
LMB_Stool_Chin_813,LMBStomachs_17,F09,LMB,15.5,1,48
LMB_Stool_Chin_814,LMBStomachs_17,G09,LMB,15.5,1,48
LMB_Stool_Chin_815,LMBStomachs_17,H09,LMB,15.5,1,48
LMB_Stool_Chin_817,LMBStomachs_17,A10,LMB,18.5,1,60
LMB_Stool_Chin_818,LMBStomachs_17,B10,LMB,18.5,1,60
LMB_Stool_Chin_819,LMBStomachs_17,C10,LMB,18.5,1,60
LMB_Stool_Chin_820_MISSING,LMBStomachs_17,D10,LMB,18.5,1,60
LMB_Stool_Chin_821,LMBStomachs_17,E10,LMB,18.5,1,60
LMB_Stool_Chin_822,LMBStomachs_17,F10,LMB,15.5,1,60
LMB_Stool_Chin_823,LMBStomachs_17,G10,LMB,15.5,1,60
LMB_Stool_Chin_824,LMBStomachs_17,H10,LMB,15.5,1,60
